Week/Month,Years,HeightMaleL,HeightMaleM,HeightMaleS,HeightFemaleL,HeightFemaleM,HeightFemaleS,WeightMaleL,WeightMaleM,WeightMaleS,WeightFemaleL,WeightFemaleM,WeightFemaleS,BMIMaleL,BMIMaleM,BMIMaleS,BMIFemaleL,BMIFemaleM,BMIFemaleS,OFCMaleL,OFCMaleM,OFCMaleS,OFCFemaleL,OFCFemaleM,OFCFemaleS,Chart
9,0.75,1,71.9687,0.03117,1,70.1435,0.03444,0.0917,8.9014,0.10881,-0.1507,8.2254,0.12199,-0.3176,17.1662,0.08102,-0.2725,16.7406,0.08898,1,45,0.0279,1,43.83,0.0305,WHO2006
10,0.833333333,1,73.2812,0.03118,1,71.4818,0.03452,0.082,9.1649,0.10891,-0.17,8.48,0.12223,-0.3516,17.0488,0.08068,-0.3068,16.6184,0.08861,1,45.41,0.0279,1,44.23,0.0304,WHO2006
11,0.916666667,1,74.5388,0.03125,1,72.771,0.03464,0.073,9.4122,0.10906,-0.1872,8.7192,0.12247,-0.3828,16.9239,0.08037,-0.3381,16.4875,0.08828,1,45.76,0.0279,1,44.58,0.0304,WHO2006
12,1,1,75.7488,0.03137,1,74.015,0.03479,0.0644,9.6479,0.10925,-0.2024,8.9481,0.12268,-0.4115,16.7981,0.08009,-0.3667,16.3568,0.08797,1,46.07,0.0279,1,44.9,0.0303,WHO2006
13,1.083333333,1,76.9186,0.03154,1,75.2176,0.03496,0.0563,9.8749,0.10949,-0.2158,9.1699,0.12283,-0.4382,16.6743,0.07982,-0.3932,16.2311,0.08768,1,46.34,0.0279,1,45.18,0.0302,WHO2006
14,1.166666667,1,78.0497,0.03174,1,76.3817,0.03514,0.0487,10.0953,0.10976,-0.2278,9.387,0.12294,-0.463,16.5548,0.07958,-0.4177,16.1128,0.08741,1,46.58,0.0279,1,45.43,0.0301,WHO2006
15,1.25,1,79.1458,0.03197,1,77.5099,0.03534,0.0413,10.3108,0.11007,-0.2384,9.6008,0.12299,-0.4863,16.4409,0.07935,-0.4407,16.0028,0.08716,1,46.81,0.0279,1,45.66,0.0301,WHO2006
16,1.333333333,1,80.2113,0.03222,1,78.6055,0.03555,0.0343,10.5228,0.11041,-0.2478,9.8124,0.12303,-0.5082,16.3335,0.07913,-0.4623,15.9017,0.08693,1,47.01,0.028,1,45.87,0.03,WHO2006
17,1.416666667,1,81.2487,0.0325,1,79.671,0.03576,0.0275,10.7319,0.11079,-0.2562,10.0226,0.12306,-0.5289,16.2329,0.07892,-0.4825,15.8096,0.08671,1,47.2,0.028,1,46.06,0.0299,WHO2006
18,1.5,1,82.2587,0.03279,1,80.7079,0.03598,0.0211,10.9385,0.11119,-0.2637,10.2315,0.12309,-0.5484,16.1392,0.07873,-0.5017,15.7263,0.0865,1,47.37,0.028,1,46.24,0.0299,WHO2006
19,1.583333333,1,83.2418,0.0331,1,81.7182,0.0362,0.0148,11.143,0.11164,-0.2703,10.4393,0.12315,-0.5669,16.0528,0.07854,-0.5199,15.6517,0.0863,1,47.54,0.028,1,46.42,0.0298,WHO2006
20,1.666666667,1,84.1996,0.03342,1,82.7036,0.03643,0.0087,11.3462,0.11211,-0.2762,10.6464,0.12323,-0.5846,15.9743,0.07836,-0.5372,15.5855,0.08612,1,47.69,0.0281,1,46.58,0.0298,WHO2006
21,1.75,1,85.1348,0.03376,1,83.6654,0.03666,0.0029,11.5486,0.11261,-0.2815,10.8534,0.12335,-0.6014,15.9039,0.07818,-0.5537,15.5278,0.08594,1,47.84,0.0281,1,46.74,0.0297,WHO2006
