name = ukwho
year = 1990-2006
yname = weight
sex = female
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L           M          S		
16.75           -0.523      56.581     0.14286
16.833          -0.528      56.6713     0.14274
16.917          -0.532      56.7567     0.14262
17              -0.536      56.838     0.14252
17.083          -0.54       56.9163     0.14243
17.167          -0.544      56.9892     0.14234
17.25           -0.547      57.059     0.14226
17.333          -0.551      57.1247     0.14218
17.417          -0.554      57.1875     0.14211
17.5            -0.557      57.2469     0.14204
17.583          -0.56       57.3041     0.14198
17.667          -0.563      57.357     0.14192
17.75           -0.565      57.407     0.14187
17.833          -0.568      57.4557     0.14182
17.917          -0.57       57.5008     0.14177
18              -0.572      57.544     0.14173
18.083          -0.574      57.5847     0.14168
18.167          -0.576      57.6235     0.14165
18.25           -0.578      57.66      0.14161
18.333          -0.58       57.6953     0.14157
18.417          -0.582      57.7288     0.14154
18.5            -0.583      57.76     0.14151
18.583          -0.585      57.7904     0.14148
18.667          -0.586      57.8199     0.14145
18.75           -0.588      57.847     0.14142
18.833          -0.589      57.8728     0.1414
18.917          -0.59       57.897     0.14137
19              -0.591      57.92     0.14135
19.083          -0.593      57.9421     0.14133
19.167          -0.594      57.9627     0.14131
19.25           -0.595      57.982     0.14129
19.333          -0.595      58.0002      0.14127
19.417          -0.596      58.0164      0.14126
19.5            -0.597      58.032      0.14124
19.583          -0.598      58.0464      0.14123
19.667          -0.599      58.0597      0.14122
19.75           -0.599      58.072     0.1412
19.833          -0.6        58.0833     0.14119
19.917          -0.6        58.0936     0.14118
20              -0.601      58.104     0.14117
    
    










