name = ukwho
year = 1990-2006
yname = weight
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M       S		
17.58	        -0.56	65.91	0.14
17.67	        -0.57	66.10	0.14
17.75	        -0.58	66.29	0.14
17.83	        -0.58	66.48	0.14
17.92	        -0.59	66.65	0.14
18	            -0.60	66.82	0.14
18.08	        -0.61	66.99	0.14
18.17	        -0.61	67.15	0.14
18.25	        -0.62	67.30	0.14
18.33	        -0.63	67.45	0.14
18.42	        -0.63	67.59	0.14
18.50	        -0.64	67.73	0.14
18.58	        -0.65	67.86	0.13
18.67	        -0.65	67.99	0.13
18.75	        -0.66	68.11	0.13
18.83	        -0.66	68.23	0.13
18.92	        -0.67	68.34	0.13
19	            -0.67	68.45	0.13
19.08	        -0.68	68.56	0.13
19.17	        -0.68	68.66	0.13
19.25	        -0.69	68.76	0.13
19.33	        -0.69	68.86	0.13
19.42	        -0.69	68.95	0.13
19.50	        -0.70	69.04	0.13
19.58	        -0.70	69.12	0.13
19.67	        -0.70	69.21	0.13
19.75	        -0.71	69.29	0.13
19.83	        -0.71	69.37	0.13
19.92	        -0.71	69.45	0.13
20	            -0.72	69.52	0.13
