Paediatric Reference Ranges for Spirometry: NHANES III update (2008),FEV1(litre),,,,,,FVC (litre),,,,,,FEV1FVC (1),,,,,,FEF2575 (L/s),,,,,,FEV075(litre),,,,,,FEV075FVC(1),,,,,
Age,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
(year),L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s
log link,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
log ht,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
coef  int,0,-11.1047846,-1.8009382,0,-10.27933984,-1.84729705,0,-11.6896501,-1.5853657,0,-11.0342204,-1.7676323,0,0.31380402,-3.3908484,0,0.4997604,-3.3947455,0,-7.95395119,-1.425505251,0,-6.5826187,-1.9445366,0,-9.60339929,-2.031934459,0,-10.15756031,-1.87804691,0,0.20914934,-2.40932579,0,0.58617016,-2.592107671
Height  cm,0,2.3395048,0,0,2.19870726,0,0,2.4365084,0,0,2.334112,0,0,-0.03323328,0,0,-0.0793916,0,0,1.80700694,0,0,1.6133475,0,0,2.0222263,0,0,2.13863145,0,0,-0.03715605,0,0,-0.13216689,0
coef age,0,0.148912,-0.1248596,0,0.03408397,-0.08155572,0,0.2795876,-0.2470621,0,0.1453117,-0.123112,0,-0.1504137,0.3696677,0,-0.1185497,0.3266679,0,-0.00490018,0.004887173,0,-0.2679831,0.2871433,0,0.02676122,-0.008781346,0,0.02140254,-0.02476799,0,-0.1027656,-0.04491048,0,-0.04523984,0.007361615
12.2,1,-0.003335068806,-0.1203245529,1,0.08512296317,-0.09989672587,1,0.01103868949,-0.1295662683,1,0.075920723,-0.1713920468,4.04764836,-0.0162355868,0.0599785576,4.087730952,0.005089434676,0.0627940852,0.4537644682,-0.002870074777,-0.03952101416,0.5265980809,0.0907206589,-0.06711275139,1,-0.0002768883193,-0.0002720614923,1,-0.0001138012813,-0.0002936193128,2.227145918,-0.001517671584,-1.74E-05,3.273438127,-0.0005047825424,-1.60E-05
12.3,1,-0.001343521483,-0.1208829635,1,0.08799848191,-0.1008955367,1,0.01218469886,-0.1305269935,1,0.07792969135,-0.1729178688,4.04764836,-0.01580812739,0.06000919815,4.087730952,0.005815883834,0.06235247512,0.4537644682,0.0009736383963,-0.04103504707,0.5265980809,0.09482474723,-0.06876269228,1,-0.0002549106106,-0.0002533489966,1,-0.0001025667034,-0.0002697392344,2.227145918,-0.001032409083,-1.59E-05,3.273438127,-0.0003512105882,-1.73E-05
12.4,1,0.0007787729122,-0.121413384,1,0.09086374058,-0.1018745832,1,0.01346639959,-0.1314575974,1,0.07994114362,-0.1744055035,4.04764836,-0.01536923351,0.06002340264,4.087730952,0.006535826541,0.06189726977,0.4537644682,0.004870344192,-0.04253393611,0.5265980809,0.09887885946,-0.07038742752,1,-0.0002321674092,-0.0002339539594,1,-9.11E-05,-0.0002452266218,2.227145918,-0.0005427840601,-1.43E-05,3.273438127,-0.0001981406461,-1.85E-05
12.5,1,0.003032298638,-0.121916771,1,0.09371636299,-0.1028341447,1,0.0148901642,-0.1323586274,1,0.08195379462,-0.1758556876,4.04764836,-0.01492035876,0.06002147986,4.087730952,0.007248323902,0.06142890437,0.4537644682,0.008816917194,-0.04401764355,0.5265980809,0.1028819622,-0.07198716592,1,-0.000208674418,-0.0002138936051,1,-7.94E-05,-0.0002200976048,2.227145918,-4.92E-05,-1.27E-05,3.273438127,-4.57E-05,-1.97E-05
12.6,1,0.005416124363,-0.1223940977,1,0.09655400514,-0.1037744993,1,0.01646057061,-0.1332306184,1,0.08396622022,-0.1772691973,4.04764836,-0.01446300716,0.06000371861,4.087730952,0.007952564627,0.06094780611,0.4537644682,0.01281009913,-0.04548613876,0.5265980809,0.1068330655,-0.07356211165,1,-0.00018444852,-0.0001931858805,1,-6.75E-05,-0.0001943677228,2.227145918,0.0004479708082,-1.10E-05,3.273438127,0.0001058634698,-2.09E-05
12.7,1,0.007928393788,-0.1228463723,1,0.09937425504,-0.1046959174,1,0.0181809263,-0.1340740992,1,0.08597683479,-0.1786466862,4.04764836,-0.0139986425,0.05997039809,4.087730952,0.008647868599,0.06045442735,0.4537644682,0.01684650124,-0.04693940259,0.5265980809,0.1107312653,-0.07511248432,1,-0.0001595078064,-0.0001718472213,1,-5.54E-05,-0.0001680530125,2.227145918,0.0009482988205,-9.38E-06,3.273438127,0.0002565255744,-2.21E-05
12.8,1,0.01056640969,-0.1232746034,1,0.1021748394,-0.1055986564,1,0.02005251943,-0.1348895901,1,0.08798407017,-0.1799887183,4.04764836,-0.01352853805,0.05992179395,4.087730952,0.009333661362,0.05994923946,0.4537644682,0.02092265271,-0.04837742577,0.5265980809,0.114575774,-0.07663850642,1,-0.0001338704055,-0.0001498905385,1,-4.32E-05,-0.0001411663347,2.227145918,0.001451441282,-7.68E-06,3.273438127,0.0004061315887,-2.33E-05
12.9,1,0.01332612343,-0.1236797791,1,0.1049536876,-0.1064829604,1,0.02207459685,-0.1356776108,1,0.08998647913,-0.1812956891,4.04764836,-0.01305392859,0.05985817989,4.087730952,0.01000941184,0.05943268446,0.4537644682,0.02503508267,-0.04980020238,0.5265980809,0.1183658578,-0.07814039741,1,-0.0001075554752,-0.000127322571,1,-3.07E-05,-0.0001137161487,2.227145918,0.001957080932,-5.96E-06,3.273438127,0.0005545565853,-2.45E-05
13,1,0.01620231695,-0.1240628876,1,0.1077086941,-0.1073490763,1,0.02424438696,-0.1364386783,1,0.09198248237,-0.1825680561,4.04764836,-0.01257591546,0.05977983521,4.087730952,0.01067462318,0.05890515811,0.4537644682,0.02918035152,-0.05120772421,0.5265980809,0.122100816,-0.07961838183,1,-8.06E-05,-0.0001041467049,1,-1.81E-05,-8.57E-05,2.227145918,0.002464895869,-4.22E-06,3.273438127,0.0007016913976,-2.57E-05
13.1,1,0.01918888254,-0.1244249133,1,0.1104376074,-0.1081972466,1,0.02655731129,-0.1371732937,1,0.09397035017,-0.183806245,4.04764836,-0.01209552081,0.05968702263,4.087730952,0.01132879086,0.05836702987,0.4537644682,0.0333548775,-0.05259999621,0.5265980809,0.1257800692,-0.08107268766,1,-5.30E-05,-8.04E-05,1,-5.37E-06,-5.72E-05,2.227145918,0.002974571537,-2.46E-06,3.273438127,0.0008474473597,-2.69E-05
13.2,1,0.02227916216,-0.1247668363,1,0.1131379124,-0.109027703,1,0.0290076921,-0.1378819582,1,0.09594827497,-0.1850105837,4.04764836,-0.01161378815,0.05957998316,4.087730952,0.01197129851,0.05781866178,0.4537644682,0.03755493917,-0.05397709967,0.5265980809,0.1294034225,-0.08250355029,1,-2.48E-05,-5.60E-05,1,7.52E-06,-2.81E-05,2.227145918,0.003485804286,-6.86E-07,3.273438127,0.0009917461384,-2.81E-05
13.3,1,0.02546601979,-0.1250896496,1,0.1158069717,-0.1098406769,1,0.03158857179,-0.1385651755,1,0.09791428888,-0.186181411,4.04764836,-0.01113162138,0.05945895477,4.087730952,0.01260158318,0.05726042241,0.4537644682,0.04177673593,-0.05533913878,0.5265980809,0.1329707487,-0.08391118908,1,4.06E-06,-3.10E-05,1,2.05E-05,1.51E-06,2.227145918,0.003998340579,1.11E-06,3.273438127,0.001134510181,-2.93E-05
13.4,1,0.02874194592,-0.1253943618,1,0.1184421055,-0.1106363998,1,0.03429214512,-0.1392234409,1,0.09986637105,-0.1873191357,4.04764836,-0.01064975258,0.0593241817,4.087730952,0.01321906268,0.0566926566,0.4537644682,0.04601644321,-0.05668622057,0.5265980809,0.1364818392,-0.08529578378,1,3.34E-05,-5.47E-06,1,3.37E-05,3.16E-05,2.227145918,0.00451197242,2.91E-06,3.273438127,0.001275652023,-3.05E-05
13.5,1,0.03209926688,-0.1256819639,1,0.1210407524,-0.111415103,1,0.0371100914,-0.139857233,1,0.1018025957,-0.1884241884,4.04764836,-0.01016879126,0.05917591137,4.087730952,0.01382315713,0.05611567838,0.4537644682,0.05027029572,-0.05801846,0.5265980809,0.139936442,-0.08665751241,1,6.34E-05,2.06E-05,1,4.69E-05,6.22E-05,2.227145918,0.005026482207,4.74E-06,3.273438127,0.001415089941,-3.17E-05
13.6,1,0.03552973385,-0.1259533503,1,0.1236005677,-0.1121770132,1,0.04003244355,-0.1404669963,1,0.1037210423,-0.1894969542,4.04764836,-0.009689102692,0.05901440587,4.087730952,0.01441346873,0.05552981412,0.4537644682,0.05453456713,-0.05933597922,0.5265980809,0.1433343297,-0.08799655982,1,9.38E-05,4.73E-05,1,6.02E-05,9.33E-05,2.227145918,0.005541652787,6.58E-06,3.273438127,0.001552796057,-3.29E-05
13.7,1,0.03902498361,-0.1262093712,1,0.1261196693,-0.1129223545,1,0.04304828479,-0.1410531593,1,0.105619964,-0.1905378206,4.04764836,-0.009210909206,0.05883992359,4.087730952,0.01498986535,0.05493542305,0.4537644682,0.05880552912,-0.0606389018,0.5265980809,0.1466753294,-0.08931311151,1,0.0001247652886,7.45E-05,1,7.35E-05,0.0001247898777,2.227145918,0.006057275215,8.43E-06,3.273438127,0.00168883211,-3.41E-05
13.8,1,0.04257702409,-0.1264508732,1,0.1285964425,-0.1136513468,1,0.04614673704,-0.1416161515,1,0.1074978761,-0.1915471385,4.04764836,-0.008734385605,0.05865271249,4.087730952,0.01555222473,0.0543328441,0.4537644682,0.06307945497,-0.06192735117,0.5265980809,0.1499592861,-0.0906073551,1,0.0001561930359,0.0001021478059,1,8.70E-05,0.0001567695895,2.227145918,0.006573142224,1.03E-05,3.273438127,0.00182327315,-3.53E-05
13.9,1,0.04617823159,-0.126678667,1,0.13102941,-0.1143642067,1,0.04931738408,-0.1421563975,1,0.1093533715,-0.1925252455,4.04764836,-0.008259651438,0.05845302512,4.087730952,0.01610045072,0.05372238941,0.4537644682,0.06735264258,-0.06320144747,0.5265980809,0.1531860611,-0.09187948681,1,0.0001880738566,0.0001303223495,1,0.0001004881713,0.0001891897495,2.227145918,0.007089045496,1.22E-05,3.273438127,0.001956199318,-3.66E-05
14,1,0.04982068111,-0.1268934608,1,0.1334172731,-0.115061149,1,0.05254985144,-0.1426743099,1,0.1111851307,-0.1934725432,4.04764836,-0.007786877942,0.05824111849,4.087730952,0.01663446772,0.05310433255,0.4537644682,0.07162128156,-0.06446129967,0.5265980809,0.1563555159,-0.09312971308,1,0.0002203830073,0.0001589646949,1,0.0001140501347,0.0002220369517,2.227145918,0.007604775691,1.41E-05,3.273438127,0.002087687832,-3.78E-05
14.1,1,0.05349658957,-0.1270959365,1,0.1357588886,-0.1157423861,1,0.0558340125,-0.1431702981,1,0.112991952,-0.1943894217,4.04764836,-0.007316306629,0.05801723391,4.087730952,0.0171541898,0.05247890171,0.4537644682,0.07588144345,-0.065707018,0.5265980809,0.1594675021,-0.09435827361,1,0.0002530965054,0.0001880522602,1,0.0001276660497,0.0002552975633,2.227145918,0.00812013613,1.59E-05,3.273438127,0.002217810546,-3.90E-05
14.2,1,0.05719838089,-0.1272867163,1,0.1380534599,-0.1164081174,1,0.05915972987,-0.1436447645,1,0.1147729068,-0.1952761623,4.04764836,-0.006848225892,0.05778159666,4.087730952,0.01765953057,0.05184627918,0.4537644682,0.08012944686,-0.0669387321,0.5265980809,0.1625219095,-0.09556550837,1,0.0002861911681,0.0002175625175,1,0.0001413324185,0.0002889538405,2.227145918,0.008634945165,1.79E-05,3.273438127,0.002346633322,-4.02E-05
14.3,1,0.06091860417,-0.1274663462,1,0.1403003785,-0.1170585373,1,0.06251713798,-0.1440980963,1,0.1165271586,-0.1961330884,4.04764836,-0.006382982163,0.0575344233,4.087730952,0.0181504865,0.05120666826,0.4537644682,0.0843617649,-0.06815658088,0.5265980809,0.165518773,-0.09675174004,1,0.000319643876,0.0002474749913,1,0.0001550447973,0.0003229853127,2.227145918,0.009149022997,1.98E-05,3.273438127,0.002474209949,-4.15E-05
14.4,1,0.06464948291,-0.1276353058,1,0.1424989295,-0.1176938433,1,0.06589618646,-0.1445306683,1,0.118253724,-0.1969605947,4.04764836,-0.005920981634,0.05727592745,4.087730952,0.01862712228,0.05056029531,0.4537644682,0.08857489188,-0.06936070598,0.5265980809,0.1684582089,-0.09791728659,1,0.0003534312835,0.0002777693803,1,0.0001687971447,0.0003573689391,2.227145918,0.009662198618,2.17E-05,3.273438127,0.002600579477,-4.27E-05
14.5,1,0.06838324981,-0.1277940404,1,0.1446483893,-0.1183142326,1,0.06928685697,-0.1449428465,1,0.1199516197,-0.1977590809,4.04764836,-0.005462595276,0.05700632481,4.087730952,0.01908949366,0.04990736981,0.4537644682,0.09276534006,-0.07055125011,0.5265980809,0.1713403629,-0.09906246807,1,0.0003875296015,0.0003084226094,1,0.0001825835819,0.0003920799976,2.227145918,0.01017431784,2.36E-05,3.273438127,0.002725779349,-4.39E-05
14.6,1,0.07211193789,-0.1279429708,1,0.1467480678,-0.1189199028,1,0.07267900841,-0.1453349828,1,0.1216198857,-0.1985289867,4.04764836,-0.005008236508,0.05672582137,4.087730952,0.01953764727,0.04924807814,0.4537644682,0.09692960102,-0.07172835773,0.5265980809,0.1741654301,-0.1001876019,1,0.0004219149012,0.000339406893,1,0.0001963985822,0.0004270910734,2.227145918,0.0106852281,2.55E-05,3.273438127,0.002849850629,-4.51E-05
14.7,1,0.07582802151,-0.128082517,1,0.1487972983,-0.1195110486,1,0.07606343986,-0.1457074221,1,0.123257538,-0.1992708014,4.04764836,-0.004558395527,0.05643461031,4.087730952,0.01997163436,0.04858258991,0.4537644682,0.1010640882,-0.0728921775,0.5265980809,0.1769336234,-0.1012930001,1,0.0004565641325,0.0003706935358,1,0.0002102372742,0.0004623742165,2.227145918,0.01119477705,2.74E-05,3.273438127,0.002972836424,-4.63E-05
14.8,1,0.07952415427,-0.1282130732,1,0.1507955668,-0.1200878618,1,0.07943175458,-0.1460605063,1,0.1248636639,-0.1999850378,4.04764836,-0.004113620538,0.0561328854,4.087730952,0.02039156261,0.0479110723,0.4537644682,0.1051651987,-0.074042859,0.5265980809,0.1796451647,-0.1023789749,1,0.0004914549793,0.0004022585477,1,0.0002240958,0.00049790364,2.227145918,0.01170282142,2.93E-05,3.273438127,0.003094777653,-4.75E-05
14.9,1,0.08319265464,-0.1283349853,1,0.1527424499,-0.1206505326,1,0.08277605326,-0.1463945766,1,0.1264373563,-0.2006722167,4.04764836,-0.003674568839,0.05582084701,4.087730952,0.02079761886,0.04723369919,0.4537644682,0.1092293295,-0.07518055185,0.5265980809,0.1823003019,-0.1034458492,1,0.0005265655085,0.0004340792509,1,0.0002379701276,0.0005336539625,2.227145918,0.01220921166,3.13E-05,3.273438127,0.003215709693,-4.87E-05
15,1,0.08682645983,-0.1284484803,1,0.154637614,-0.1211992508,1,0.08608969451,-0.1467099602,1,0.1279776766,-0.2013329084,4.04764836,-0.003241985549,0.05549869593,4.087730952,0.02119009249,0.04655065798,0.4537644682,0.1132528816,-0.07630540614,0.5265980809,0.1848993316,-0.104493944,1,0.0005618763069,0.0004661383325,1,0.0002518560952,0.000569596932,2.227145918,0.01271379139,3.32E-05,3.273438127,0.003335665389,-4.99E-05
15.1,1,0.09041968735,-0.1285537226,1,0.1564809034,-0.1217342031,1,0.0893674639,-0.1470069751,1,0.1294837869,-0.2019677163,4.04764836,-0.002816553575,0.05516663674,4.087730952,0.02156931852,0.04586212789,0.4537644682,0.1172325092,-0.07741757215,0.5265980809,0.1874426915,-0.1055235677,1,0.0005973701493,0.0004984241368,1,0.0002657494695,0.000605702955,2.227145918,0.01321641402,3.51E-05,3.273438127,0.003454677088,-5.11E-05
15.2,1,0.09396731329,-0.128650845,1,0.1582726737,-0.1222555723,1,0.09260512124,-0.1472859379,1,0.1309552021,-0.2025772747,4.04764836,-0.002398888182,0.05482487824,4.087730952,0.02193574782,0.04516828639,0.4537644682,0.1211657986,-0.07851719134,0.5265980809,0.1899312502,-0.1065349944,1,0.000633031055,0.000530926533,1,0.0002796466411,0.0006419392138,2.227145918,0.01371694347,3.70E-05,3.273438127,0.003572783722,-5.23E-05
15.3,1,0.09746454009,-0.1287399848,1,0.1600134828,-0.1227635384,1,0.09579878854,-0.1475471631,1,0.1323915285,-0.2031622529,4.04764836,-0.001989604112,0.05447362544,4.087730952,0.02228991528,0.04446931754,0.4537644682,0.1250505028,-0.0796043976,0.5265980809,0.1923660295,-0.1075284809,1,0.0006688430768,0.0005636337651,1,0.0002935442694,0.0006782702207,2.227145918,0.01421524744,3.89E-05,3.273438127,0.003690027255,-5.34E-05
15.4,1,0.1009069016,-0.1288212843,1,0.1617038851,-0.123258281,1,0.09894484458,-0.1477909607,1,0.1337923379,-0.2037233516,4.04764836,-0.001589248121,0.05411308391,4.087730952,0.0226323747,0.04376540062,0.4537644682,0.1288842648,-0.08067931609,0.5265980809,0.1947480398,-0.108504281,1,0.0007047906026,0.0005965336304,1,0.0003074390306,0.0007146589615,2.227145918,0.01471120456,4.08E-05,3.273438127,0.003806448527,-5.46E-05
15.5,1,0.1042907496,-0.1288948872,1,0.1633443996,-0.1237399777,1,0.102039929,-0.1480176347,1,0.1351571941,-0.2042612804,4.04764836,-0.001198184663,0.05374346264,4.087730952,0.02296365431,0.04305670298,0.4537644682,0.1326647172,-0.08174207111,0.5265980809,0.1970782519,-0.1094626472,1,0.0007408589917,0.000629610241,1,0.0003213273001,0.0007510675129,2.227145918,0.01520470925,4.27E-05,3.273438127,0.0039220841,-5.58E-05
15.6,1,0.1076128013,-0.1289609415,1,0.1649355892,-0.1242088031,1,0.1050807646,-0.148227479,1,0.1364857332,-0.2047767261,4.04764836,-0.0008166590661,0.05336497325,4.087730952,0.02328425397,0.04234337483,0.4537644682,0.1363894927,-0.082792787,0.5265980809,0.1993576052,-0.1104038304,1,0.0007770342715,0.0006628438529,1,0.0003352057347,0.0007874589773,2.227145918,0.01569567467,4.46E-05,3.273438127,0.004036965766,-5.69E-05
15.7,1,0.1108700337,-0.1290196093,1,0.1664782272,-0.124664922,1,0.1080646012,-0.1484207816,1,0.1377778608,-0.2052702706,4.04764836,-0.0004449106001,0.05297782504,4.087730952,0.02359463777,0.04162555873,0.4537644682,0.1400562722,-0.08383158906,0.5265980809,0.2015870211,-0.1113280824,1,0.000813302776,0.0006962117634,1,0.0003490725312,0.0008238107917,2.227145918,0.01618402114,4.64E-05,3.273438127,0.004151117541,-5.81E-05
15.8,1,0.1140596178,-0.129071061,1,0.1679731143,-0.1251084923,1,0.1109890145,-0.1485978312,1,0.1390335514,-0.205742464,4.04764836,-8.32E-05,0.05258222173,4.087730952,0.02389526141,0.04090340922,0.4537644682,0.1436628838,-0.08485860446,0.5265980809,0.2037673967,-0.1122356556,1,0.0008496509157,0.0007296894807,1,0.0003629260985,0.0008601155417,2.227145918,0.01666967847,4.83E-05,3.273438127,0.004264558812,-5.93E-05
15.9,1,0.117178847,-0.1291154447,1,0.1694210808,-0.1255396678,1,0.1138513839,-0.1487589121,1,0.1402528802,-0.2061938518,4.04764836,0.0002682378126,0.0521783652,4.087730952,0.02418658251,0.04017710508,0.4537644682,0.14720723,-0.08587396407,0.5265980809,0.2058995893,-0.1131268114,1,0.0008860655675,0.0007632528571,1,0.0003767653417,0.0008963833247,2.227145918,0.01715259917,5.01E-05,3.273438127,0.0043773074,-6.04E-05
16,1,0.1202258299,-0.1291528577,1,0.1708230577,-0.1259586037,1,0.1166499128,-0.1489042824,1,0.141436195,-0.2066249162,4.04764836,0.000609250944,0.05176645314,4.087730952,0.0244690078,0.03944682794,0.4537644682,0.150687261,-0.08687780472,0.5265980809,0.2079844047,-0.1140018163,1,0.0009225350612,0.0007968804351,1,0.0003905906171,0.0009326242009,2.227145918,0.01763275016,5.20E-05,3.273438127,0.004489382654,-6.16E-05
16.1,1,0.1231994666,-0.1291833746,1,0.1721801022,-0.1263654511,1,0.1193834919,-0.1490341895,1,0.1425840581,-0.2070360621,4.04764836,0.0009397243096,0.05134667768,4.087730952,0.02474289755,0.03871274382,0.4537644682,0.1541012065,-0.08787026414,0.5265980809,0.2100226261,-0.1148609615,1,0.0009590490351,0.0008305544747,1,0.0004044040914,0.0009688493993,2.227145918,0.01811009758,5.38E-05,3.273438127,0.004600799577,-6.27E-05
16.2,1,0.1260995735,-0.1292070412,1,0.1734930864,-0.1267603561,1,0.1220511887,-0.149148883,1,0.1436968693,-0.2074276295,4.04764836,0.00125968275,0.05091923007,4.087730952,0.02500859697,0.03797501536,0.4537644682,0.1574483449,-0.0888514573,0.5265980809,0.2120150482,-0.1157046277,1,0.0009955982777,0.000864262119,1,0.0004182084844,0.001005067908,2.227145918,0.01858461555,5.56E-05,3.273438127,0.004711571595,-6.38E-05
16.3,1,0.1289259603,-0.1292239157,1,0.174762749,-0.1271434635,1,0.1246515571,-0.1492486133,1,0.1447749287,-0.2077999617,4.04764836,0.001569238023,0.05048430321,4.087730952,0.0252664252,0.03723380112,0.4537644682,0.1607282592,-0.08982149267,0.5265980809,0.2139624598,-0.1165332156,1,0.001032173761,0.0008979900063,1,0.0004320059053,0.001041287906,2.227145918,0.01905628901,5.74E-05,3.273438127,0.004821709236,-6.50E-05
16.4,1,0.1316784629,-0.1292340637,1,0.1759898363,-0.1275149171,1,0.1271827238,-0.1493336307,1,0.1458186167,-0.208153389,4.04764836,0.001868609801,0.05004209687,4.087730952,0.02551666709,0.03648925617,0.4537644682,0.1639406425,-0.09078047457,0.5265980809,0.2158656401,-0.1173471203,1,0.001068767757,0.000931727954,1,0.0004457981684,0.001077515802,2.227145918,0.01952512148,5.92E-05,3.273438127,0.004931217079,-6.61E-05
16.5,1,0.1343570864,-0.1292375444,1,0.177175076,-0.1278748596,1,0.1296428555,-0.1494041837,1,0.1468283588,-0.2084882157,4.04764836,0.002157992559,0.0495928017,4.087730952,0.02575955336,0.03574151604,0.4537644682,0.1670852089,-0.09172851298,0.5265980809,0.2177253605,-0.1181467357,1,0.001105374644,0.0009654694497,1,0.0004595870287,0.001113756736,2.227145918,0.01999112606,6.10E-05,3.273438127,0.005040096949,-6.72E-05
16.6,1,0.1369619532,-0.1292344268,1,0.1783191714,-0.1282234337,1,0.1320303021,-0.1494605176,1,0.1478045633,-0.208804768,4.04764836,0.002437544849,0.04913659887,4.087730952,0.02599528801,0.03499069702,0.4537644682,0.170161678,-0.09266572154,0.5265980809,0.2195423784,-0.1189324501,1,0.001141989812,0.0009992085496,1,0.0004733737504,0.001150014097,2.227145918,0.02045432095,6.28E-05,3.273438127,0.005148350607,-6.83E-05
16.7,1,0.1394929668,-0.1292247855,1,0.1794229046,-0.128560781,1,0.1343430258,-0.149502879,1,0.148747728,-0.2091033576,4.04764836,0.002707436098,0.04867366877,4.087730952,0.02622404663,0.03423688805,0.4537644682,0.1731697969,-0.09359221411,0.5265980809,0.2213174358,-0.1197046449,1,0.001178609635,0.00103293952,1,0.0004871595472,0.001186288629,2.227145918,0.02091473853,6.45E-05,3.273438127,0.005255979083,-6.94E-05
16.8,1,0.1419499153,-0.1292086825,1,0.1804872633,-0.1288870376,1,0.1365792536,-0.1495315048,1,0.1496585357,-0.2093842343,4.04764836,0.002967797947,0.04820418943,4.087730952,0.02644600043,0.03348015375,0.4537644682,0.1761093716,-0.09450810475,0.5265980809,0.2230512716,-0.1204636975,1,0.001215231895,0.001066660727,1,0.0005009452623,0.001222579029,2.227145918,0.02137241329,6.63E-05,3.273438127,0.005362983223,-7.05E-05
16.9,1,0.1443324335,-0.1291861705,1,0.181513267,-0.1292023386,1,0.13873791,-0.1495466022,1,0.1505376143,-0.2096476615,4.04764836,0.003218704877,0.04772833484,4.087730952,0.02666136067,0.03272054879,0.4537644682,0.1789801382,-0.09541350268,0.5265980809,0.2247446571,-0.1212099749,1,0.00125185549,0.001100377832,1,0.0005147309888,0.001258880421,2.227145918,0.02182737921,6.80E-05,3.273438127,0.005469362478,-7.16E-05
17,1,0.1466399516,-0.1291572912,1,0.1825019865,-0.1295068163,1,0.1408181854,-0.1495483586,1,0.151385541,-0.2098938935,4.04764836,0.003460167073,0.04724627321,4.087730952,0.026870395,0.0319581284,0.4537644682,0.1817817572,-0.09630851126,0.5265980809,0.2263984115,-0.1219438326,,,,,,,,,,,,
17.1,1,0.1488718688,-0.1291221075,1,0.1834544615,-0.1298006014,1,0.1428195289,-0.1495369629,1,0.152202854,-0.2101231947,4.04764836,0.003692204827,0.04675818059,4.087730952,0.02707338095,0.031192956,0.4537644682,0.1845139413,-0.09719322569,0.5265980809,0.2280133391,-0.1226656134,,,,,,,,,,,,
17.2,1,0.1510282488,-0.1290807278,1,0.184371572,-0.1300838287,1,0.1447424147,-0.1495126039,1,0.1529900195,-0.2103358818,4.04764836,0.003914947967,0.04626425171,4.087730952,0.02727057216,0.03042511654,0.4537644682,0.1871766607,-0.09806772204,0.5265980809,0.2295901436,-0.1233756351,,,,,,,,,,,,
17.3,1,0.1531097292,-0.1290332649,1,0.185254132,-0.1303566327,1,0.1465882061,-0.1494754662,1,0.153747491,-0.2105322861,4.04764836,0.004128560121,0.04576468587,4.087730952,0.0274621926,0.02965469343,0.4537644682,0.1897701153,-0.0989320618,0.5265980809,0.2311294823,-0.1240742044,,,,,,,,,,,,
17.4,1,0.1551174178,-0.1289798156,1,0.1861028996,-0.1306191466,1,0.1483590568,-0.1494257262,1,0.1544757138,-0.2107127379,4.04764836,0.00433318389,0.04525967759,4.087730952,0.02764842082,0.0288817571,0.4537644682,0.1922945635,-0.09978631037,0.5265980809,0.232631984,-0.1247616252,,,,,,,,,,,,
17.5,1,0.1570527372,-0.1289204718,1,0.1869185733,-0.1308714997,1,0.1500574587,-0.1493635562,1,0.1551751258,-0.2108775782,4.04764836,0.004528984652,0.04474941964,4.087730952,0.02782940191,0.0281063841,0.4537644682,0.1947502675,-0.1006305338,0.5265980809,0.2340982659,-0.1254381989,,,,,,,,,,,,
17.6,1,0.1589172454,-0.1288553239,1,0.1877018234,-0.1311138186,1,0.1516860599,-0.1492891269,1,0.1558461578,-0.2110271468,4.04764836,0.004716113047,0.04423409882,4.087730952,0.02800526988,0.0273286526,0.4537644682,0.1971374893,-0.101464798,0.5265980809,0.235528927,-0.1261042193,,,,,,,,,,,,
17.7,1,0.1607123892,-0.1287844584,1,0.1884533046,-0.1313462286,1,0.1532475858,-0.1492026051,1,0.156489251,-0.2111617866,4.04764836,0.004894675841,0.04371389742,4.087730952,0.0281761417,0.02654863802,0.4537644682,0.199456491,-0.102289169,0.5265980809,0.2369245329,-0.1267599725,,,,,,,,,,,,
17.8,1,0.1624395488,-0.1287079603,1,0.1891736862,-0.1315688531,1,0.1547447264,-0.149104155,1,0.1571048808,-0.211281843,4.04764836,0.005064764637,0.04318899352,4.087730952,0.02834211814,0.02576640946,0.4537644682,0.2017075346,-0.1031037129,0.5265980809,0.2382856424,-0.1274057412,,,,,,,,,,,,
17.9,1,0.1641001117,-0.1286259149,1,0.189863671,-0.1317818139,1,0.156180146,-0.1489939414,1,0.1576935396,-0.2113876692,4.04764836,0.005226463014,0.04265956072,4.087730952,0.02850330616,0.02498203173,0.4537644682,0.2038908825,-0.1039084957,0.5265980809,0.2396128255,-0.1280418008,,,,,,,,,,,,
18,1,0.1656957008,-0.1285383977,1,0.1905239845,-0.1319852305,1,0.157556548,-0.1488721282,1,0.1582557035,-0.2114796282,4.04764836,0.00537988522,0.04212576925,4.087730952,0.02865983012,0.02419556706,0.4537644682,0.2060067965,-0.1047035833,0.5265980809,0.2409066934,-0.1286684147,,,,,,,,,,,,
