WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
130,10.83,1,142.1916,0.04692,1,143.9222,0.04591,,,,,,,-1.7828,16.8497,0.10989,-1.4677,17.1316,0.12678
131,10.92,1,142.6501,0.04698,1,144.4575,0.04588,,,,,,,-1.7847,16.8941,0.1103,-1.4642,17.1883,0.12713
132,11.00,1,143.1126,0.04703,1,144.9929,0.04584,,,,,,,-1.7862,16.9392,0.1107,-1.4606,17.2459,0.12748
133,11.08,1,143.5795,0.04709,1,145.528,0.0458,,,,,,,-1.7873,16.985,0.1111,-1.4567,17.3044,0.12782
134,11.17,1,144.0511,0.04714,1,146.0622,0.04576,,,,,,,-1.7881,17.0314,0.1115,-1.4526,17.3637,0.12816
135,11.25,1,144.5276,0.04719,1,146.5951,0.04571,,,,,,,-1.7884,17.0784,0.11189,-1.4482,17.4238,0.12849
136,11.33,1,145.0093,0.04723,1,147.1262,0.04567,,,,,,,-1.7884,17.1262,0.11228,-1.4436,17.4847,0.12882
137,11.42,1,145.4964,0.04728,1,147.6548,0.04562,,,,,,,-1.788,17.1746,0.11266,-1.4389,17.5464,0.12914
138,11.50,1,145.9891,0.04732,1,148.1804,0.04557,,,,,,,-1.7873,17.2236,0.11304,-1.4339,17.6088,0.12946
139,11.58,1,146.4878,0.04736,1,148.7023,0.04552,,,,,,,-1.7861,17.2734,0.11342,-1.4288,17.6719,0.12978
140,11.67,1,146.9927,0.0474,1,149.2197,0.04546,,,,,,,-1.7846,17.324,0.11379,-1.4235,17.7357,0.13009
141,11.75,1,147.5041,0.04744,1,149.7322,0.04541,,,,,,,-1.7828,17.3752,0.11415,-1.418,17.8001,0.1304
142,11.83,1,148.0224,0.04747,1,150.239,0.04535,,,,,,,-1.7806,17.4272,0.11451,-1.4123,17.8651,0.1307
